"","nutrient","nutrient_type","nutrient_units","units","sex_stage","sex","stage","age_range","dri_type","ref_value","footnote","ref_units","relevance","data_type"
"866","Vitamin B1","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","RDA",1.4,"","mg",2,"RDI_name"
"867","Vitamin B1","Vitamin","mg","mg/d","Men","Males","None","19-30 yr","EAR",1,NA,"mg",2,"RDI_name"
"868","Vitamin B1","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","RDA",1.4,"","mg",2,"RDI_name"
"869","Vitamin B1","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","EAR",1.2,NA,"mg",2,"RDI_name"
"870","Vitamin B1","Vitamin","mg","mg/d","Men","Males","None","31-50 yr","EAR",1,NA,"mg",2,"RDI_name"
"871","Vitamin B1","Vitamin","mg","mg/d","Men","Males","None","14-18 yr","EAR",1,NA,"mg",2,"RDI_name"
"872","Vitamin B1","Vitamin","mg","mg/d","Children","Both","Children","1-3 yr","RDA",0.5,"","mg",2,"RDI_name"
"873","Vitamin B1","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","EAR",1.2,NA,"mg",2,"RDI_name"
"874","Vitamin B1","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","14-18 yr","EAR",1.2,NA,"mg",2,"RDI_name"
"875","Vitamin B1","Vitamin","mg","mg/d","Children","Both","Children","4-8 yr","EAR",0.5,NA,"mg",2,"RDI_name"
"876","Vitamin B1","Vitamin","mg","mg/d","Men","Males","None","9-13 yr","EAR",0.7,NA,"mg",2,"RDI_name"
"877","Vitamin B1","Vitamin","mg","mg/d","Women","Females","None",">70 yr","RDA",1.1,"","mg",2,"RDI_name"
"878","Vitamin B1","Vitamin","mg","mg/d","Children","Both","Children","1-3 yr","EAR",0.4,NA,"mg",2,"RDI_name"
"879","Vitamin B1","Vitamin","mg","mg/d","Women","Females","None","51-70 yr","RDA",1.1,"","mg",2,"RDI_name"
"880","Vitamin B1","Vitamin","mg","mg/d","Women","Females","None","19-30 yr","RDA",1.1,"","mg",2,"RDI_name"
"881","Vitamin B1","Vitamin","mg","mg/d","Women","Females","None","31-50 yr","RDA",1.1,"","mg",2,"RDI_name"
"882","Vitamin B1","Vitamin","mg","mg/d","Infants","Both","Infants","6-12 mo","AI",0.3,"*","mg",2,"RDI_name"
"883","Vitamin B1","Vitamin","mg","mg/d","Infants","Both","Infants","0-6 mo","AI",0.2,"*","mg",2,"RDI_name"
"884","Vitamin B1","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","19-30 yr","EAR",1.2,NA,"mg",2,"RDI_name"
"885","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None","19-30 yr","AI",25,"*","g",2,"RDI_name"
"886","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None","31-50 yr","AI",25,"*","g",2,"RDI_name"
"887","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None","14-18 yr","AI",26,"*","g",2,"RDI_name"
"888","Dietary fiber (total)","Macronutrient","g","g/d","Women (pregnant)","Females","Pregnancy","14-18 yr","AI",28,"*","g",2,"RDI_name"
"889","Dietary fiber (total)","Macronutrient","g","g/d","Women (pregnant)","Females","Pregnancy","19-30 yr","AI",28,"*","g",2,"RDI_name"
"890","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None","51-70 yr","AI",21,"*","g",2,"RDI_name"
"891","Dietary fiber (total)","Macronutrient","g","g/d","Women (lactating)","Females","Lactation","14-18 yr","AI",29,"*","g",2,"RDI_name"
"892","Dietary fiber (total)","Macronutrient","g","g/d","Women (lactating)","Females","Lactation","19-30 yr","AI",29,"*","g",2,"RDI_name"
"893","Dietary fiber (total)","Macronutrient","g","g/d","Women (lactating)","Females","Lactation","31-50 yr","AI",29,"*","g",2,"RDI_name"
"894","Dietary fiber (total)","Macronutrient","g","g/d","Women (pregnant)","Females","Pregnancy","31-50 yr","AI",28,"*","g",2,"RDI_name"
"895","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None","9-13 yr","AI",26,"*","g",2,"RDI_name"
"896","Dietary fiber (total)","Macronutrient","g","g/d","Women","Females","None",">70 yr","AI",21,"*","g",2,"RDI_name"
"897","Dietary fiber (total)","Macronutrient","g","g/d","Children","Both","Children","1-3 yr","AI",19,"*","g",2,"RDI_name"
"898","Dietary fiber (total)","Macronutrient","g","g/d","Children","Both","Children","4-8 yr","AI",25,"*","g",2,"RDI_name"
"899","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None","9-13 yr","AI",31,"*","g",2,"RDI_name"
"900","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None","14-18 yr","AI",38,"*","g",2,"RDI_name"
"901","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None","19-30 yr","AI",38,"*","g",2,"RDI_name"
"902","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None","31-50 yr","AI",38,"*","g",2,"RDI_name"
"903","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None","51-70 yr","AI",30,"*","g",2,"RDI_name"
"904","Dietary fiber (total)","Macronutrient","g","g/d","Men","Males","None",">70 yr","AI",30,"*","g",2,"RDI_name"
"905","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","31-50 yr","EAR",500,NA,"µg",3,"RDI_name"
"906","Vitamin A","Vitamin","µg","µg/d","Women","Females","None",">70 yr","EAR",500,NA,"µg",3,"RDI_name"
"907","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","51-70 yr","EAR",500,NA,"µg",3,"RDI_name"
"908","Vitamin A","Vitamin","µg","µg/d","Men","Males","None",">70 yr","EAR",625,NA,"µg",3,"RDI_name"
"909","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","9-13 yr","EAR",420,NA,"µg",3,"RDI_name"
"910","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","19-30 yr","EAR",500,NA,"µg",3,"RDI_name"
"911","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","9-13 yr","RDA",600,"","µg",3,"RDI_name"
"912","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","14-18 yr","RDA",700,"","µg",3,"RDI_name"
"913","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","UL",2800,"","µg",3,"RDI_name"
"914","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","31-50 yr","RDA",700,"","µg",3,"RDI_name"
"915","Vitamin A","Vitamin","µg","µg/d","Women","Females","None",">70 yr","UL",3000,"","µg",3,"RDI_name"
"916","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","EAR",530,NA,"µg",3,"RDI_name"
"917","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","51-70 yr","UL",3000,"","µg",3,"RDI_name"
"918","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","31-50 yr","UL",3000,"","µg",3,"RDI_name"
"919","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","31-50 yr","EAR",625,NA,"µg",3,"RDI_name"
"920","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","51-70 yr","EAR",625,NA,"µg",3,"RDI_name"
"921","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","14-18 yr","EAR",485,NA,"µg",3,"RDI_name"
"922","Vitamin A","Vitamin","µg","µg/d","Men","Males","None",">70 yr","RDA",900,"","µg",3,"RDI_name"
"923","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","31-50 yr","EAR",900,NA,"µg",3,"RDI_name"
"924","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","19-30 yr","RDA",1300,"","µg",3,"RDI_name"
"925","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","31-50 yr","RDA",1300,"","µg",3,"RDI_name"
"926","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","19-30 yr","RDA",700,"","µg",3,"RDI_name"
"927","Vitamin A","Vitamin","µg","µg/d","Infants","Both","Infants","6-12 mo","UL",600,"","µg",3,"RDI_name"
"928","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","1-3 yr","UL",600,"","µg",3,"RDI_name"
"929","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","1-3 yr","EAR",210,NA,"µg",3,"RDI_name"
"930","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","UL",3000,"","µg",3,"RDI_name"
"931","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","UL",3000,"","µg",3,"RDI_name"
"932","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","19-30 yr","UL",3000,"","µg",3,"RDI_name"
"933","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","14-18 yr","RDA",900,"","µg",3,"RDI_name"
"934","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","51-70 yr","RDA",900,"","µg",3,"RDI_name"
"935","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","31-50 yr","RDA",900,"","µg",3,"RDI_name"
"936","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","19-30 yr","EAR",900,NA,"µg",3,"RDI_name"
"937","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","19-30 yr","UL",3000,"","µg",3,"RDI_name"
"938","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","31-50 yr","UL",3000,"","µg",3,"RDI_name"
"939","Vitamin A","Vitamin","µg","µg/d","Infants","Both","Infants","0-6 mo","UL",600,"","µg",3,"RDI_name"
"940","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","EAR",550,NA,"µg",3,"RDI_name"
"941","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","14-18 yr","UL",2800,"","µg",3,"RDI_name"
"942","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","19-30 yr","EAR",625,NA,"µg",3,"RDI_name"
"943","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","51-70 yr","RDA",700,"","µg",3,"RDI_name"
"944","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","14-18 yr","EAR",885,NA,"µg",3,"RDI_name"
"945","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","9-13 yr","UL",1700,"","µg",3,"RDI_name"
"946","Vitamin A","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","14-18 yr","RDA",1200,"","µg",3,"RDI_name"
"947","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","19-30 yr","RDA",900,"","µg",3,"RDI_name"
"948","Vitamin A","Vitamin","µg","µg/d","Infants","Both","Infants","0-6 mo","AI",400,"*","µg",3,"RDI_name"
"949","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","4-8 yr","EAR",275,NA,"µg",3,"RDI_name"
"950","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","9-13 yr","EAR",445,NA,"µg",3,"RDI_name"
"951","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","14-18 yr","EAR",630,NA,"µg",3,"RDI_name"
"952","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","9-13 yr","RDA",600,"","µg",3,"RDI_name"
"953","Vitamin A","Vitamin","µg","µg/d","Men","Males","None",">70 yr","UL",3000,"","µg",3,"RDI_name"
"954","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","RDA",770,"","µg",3,"RDI_name"
"955","Vitamin A","Vitamin","µg","µg/d","Women","Females","None","14-18 yr","UL",2800,"","µg",3,"RDI_name"
"956","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","RDA",750,"","µg",3,"RDI_name"
"957","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","4-8 yr","UL",900,"","µg",3,"RDI_name"
"958","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","9-13 yr","UL",1700,"","µg",3,"RDI_name"
"959","Vitamin A","Vitamin","µg","µg/d","Women","Females","None",">70 yr","RDA",700,"","µg",3,"RDI_name"
"960","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","RDA",770,"","µg",3,"RDI_name"
"961","Vitamin A","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","EAR",550,NA,"µg",3,"RDI_name"
"962","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","4-8 yr","RDA",400,"","µg",3,"RDI_name"
"963","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","51-70 yr","UL",3000,"","µg",3,"RDI_name"
"964","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","19-30 yr","UL",3000,"","µg",3,"RDI_name"
"965","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","31-50 yr","UL",3000,"","µg",3,"RDI_name"
"966","Vitamin A","Vitamin","µg","µg/d","Children","Both","Children","1-3 yr","RDA",300,"","µg",3,"RDI_name"
"967","Vitamin A","Vitamin","µg","µg/d","Men","Males","None","14-18 yr","UL",2800,"","µg",3,"RDI_name"
"968","Vitamin A","Vitamin","µg","µg/d","Infants","Both","Infants","6-12 mo","AI",500,"*","µg",3,"RDI_name"
"969","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","51-70 yr","RDA",2.4,"h","µg",3,"RDI_name"
"970","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None",">70 yr","RDA",2.4,"h","µg",3,"RDI_name"
"971","Vitamin B12","Vitamin","µg","µg/d","Children","Both","Children","4-8 yr","EAR",1,NA,"µg",3,"RDI_name"
"972","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","9-13 yr","EAR",1.5,NA,"µg",3,"RDI_name"
"973","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","14-18 yr","RDA",2.8,"","µg",3,"RDI_name"
"974","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","19-30 yr","RDA",2.8,"","µg",3,"RDI_name"
"975","Vitamin B12","Vitamin","µg","µg/d","Children","Both","Children","1-3 yr","EAR",0.7,NA,"µg",3,"RDI_name"
"976","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None",">70 yr","EAR",2,NA,"µg",3,"RDI_name"
"977","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","EAR",2.2,NA,"µg",3,"RDI_name"
"978","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","31-50 yr","RDA",2.4,"","µg",3,"RDI_name"
"979","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","14-18 yr","EAR",2,NA,"µg",3,"RDI_name"
"980","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","14-18 yr","RDA",2.4,"","µg",3,"RDI_name"
"981","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None",">70 yr","RDA",2.4,"h","µg",3,"RDI_name"
"982","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","9-13 yr","RDA",1.8,"","µg",3,"RDI_name"
"983","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","EAR",2.2,NA,"µg",3,"RDI_name"
"984","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","31-50 yr","RDA",2.8,"","µg",3,"RDI_name"
"985","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","19-30 yr","EAR",2,NA,"µg",3,"RDI_name"
"986","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","EAR",2.2,NA,"µg",3,"RDI_name"
"987","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","RDA",2.6,"","µg",3,"RDI_name"
"988","Vitamin B12","Vitamin","µg","µg/d","Infants","Both","Infants","6-12 mo","AI",0.5,"*","µg",3,"RDI_name"
"989","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","51-70 yr","EAR",2,NA,"µg",3,"RDI_name"
"990","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","RDA",2.6,"","µg",3,"RDI_name"
"991","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","19-30 yr","RDA",2.4,"","µg",3,"RDI_name"
"992","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","51-70 yr","RDA",2.4,"h","µg",3,"RDI_name"
"993","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","14-18 yr","EAR",2.4,NA,"µg",3,"RDI_name"
"994","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","19-30 yr","EAR",2.4,NA,"µg",3,"RDI_name"
"995","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","31-50 yr","EAR",2,NA,"µg",3,"RDI_name"
"996","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","31-50 yr","RDA",2.4,"","µg",3,"RDI_name"
"997","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","19-30 yr","RDA",2.4,"","µg",3,"RDI_name"
"998","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","19-30 yr","EAR",2,NA,"µg",3,"RDI_name"
"999","Vitamin B12","Vitamin","µg","µg/d","Children","Both","Children","4-8 yr","RDA",1.2,"","µg",3,"RDI_name"
"1000","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","9-13 yr","RDA",1.8,"","µg",3,"RDI_name"
"1001","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","14-18 yr","EAR",2,NA,"µg",3,"RDI_name"
"1002","Vitamin B12","Vitamin","µg","µg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","RDA",2.6,"","µg",3,"RDI_name"
"1003","Vitamin B12","Vitamin","µg","µg/d","Children","Both","Children","1-3 yr","RDA",0.9,"","µg",3,"RDI_name"
"1004","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","9-13 yr","EAR",1.5,NA,"µg",3,"RDI_name"
"1005","Vitamin B12","Vitamin","µg","µg/d","Infants","Both","Infants","0-6 mo","AI",0.4,"*","µg",3,"RDI_name"
"1006","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","51-70 yr","EAR",2,NA,"µg",3,"RDI_name"
"1007","Vitamin B12","Vitamin","µg","µg/d","Women (lactating)","Females","Lactation","31-50 yr","EAR",2.4,NA,"µg",3,"RDI_name"
"1008","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None",">70 yr","EAR",2,NA,"µg",3,"RDI_name"
"1009","Vitamin B12","Vitamin","µg","µg/d","Women","Females","None","14-18 yr","RDA",2.4,"","µg",3,"RDI_name"
"1010","Vitamin B12","Vitamin","µg","µg/d","Men","Males","None","31-50 yr","EAR",2,NA,"µg",3,"RDI_name"
"1011","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","51-70 yr","RDA",1.7,"","mg",2,"RDI_name"
"1012","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None",">70 yr","RDA",1.7,"","mg",2,"RDI_name"
"1013","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","9-13 yr","UL",60,"","mg",2,"RDI_name"
"1014","Vitamin B6","Vitamin","mg","mg/d","Infants","Both","Infants","6-12 mo","AI",0.3,"*","mg",2,"RDI_name"
"1015","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","9-13 yr","RDA",1,"","mg",2,"RDI_name"
"1016","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","14-18 yr","UL",80,"","mg",2,"RDI_name"
"1017","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","4-8 yr","UL",40,"","mg",2,"RDI_name"
"1018","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","19-30 yr","RDA",1.3,"","mg",2,"RDI_name"
"1019","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","14-18 yr","RDA",1.3,"","mg",2,"RDI_name"
"1020","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","31-50 yr","RDA",1.3,"","mg",2,"RDI_name"
"1021","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None",">70 yr","UL",100,"","mg",2,"RDI_name"
"1022","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","1-3 yr","UL",30,"","mg",2,"RDI_name"
"1023","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","9-13 yr","EAR",0.8,NA,"mg",2,"RDI_name"
"1024","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","19-30 yr","EAR",1.1,NA,"mg",2,"RDI_name"
"1025","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","19-30 yr","RDA",1.3,"","mg",2,"RDI_name"
"1026","Vitamin B6","Vitamin","mg","mg/d","Infants","Both","Infants","0-6 mo","AI",0.1,"*","mg",2,"RDI_name"
"1027","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","19-30 yr","UL",100,"","mg",2,"RDI_name"
"1028","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","31-50 yr","UL",100,"","mg",2,"RDI_name"
"1029","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","1-3 yr","RDA",0.5,"","mg",2,"RDI_name"
"1030","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","4-8 yr","RDA",0.6,"","mg",2,"RDI_name"
"1031","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","9-13 yr","RDA",1,"","mg",2,"RDI_name"
"1032","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","9-13 yr","UL",60,"","mg",2,"RDI_name"
"1033","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","14-18 yr","UL",80,"","mg",2,"RDI_name"
"1034","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","31-50 yr","UL",100,"","mg",2,"RDI_name"
"1035","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","UL",80,"","mg",2,"RDI_name"
"1036","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","EAR",1.7,NA,"mg",2,"RDI_name"
"1037","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","14-18 yr","EAR",1,NA,"mg",2,"RDI_name"
"1038","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","14-18 yr","RDA",1.2,"","mg",2,"RDI_name"
"1039","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","UL",100,"","mg",2,"RDI_name"
"1040","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None",">70 yr","UL",100,"","mg",2,"RDI_name"
"1041","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","51-70 yr","RDA",1.5,"","mg",2,"RDI_name"
"1042","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None",">70 yr","RDA",1.5,"","mg",2,"RDI_name"
"1043","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","19-30 yr","RDA",2,"","mg",2,"RDI_name"
"1044","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","51-70 yr","UL",100,"","mg",2,"RDI_name"
"1045","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","14-18 yr","RDA",2,"","mg",2,"RDI_name"
"1046","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","51-70 yr","EAR",1.4,NA,"mg",2,"RDI_name"
"1047","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","RDA",2,"","mg",2,"RDI_name"
"1048","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","UL",100,"","mg",2,"RDI_name"
"1049","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","31-50 yr","RDA",1.3,"","mg",2,"RDI_name"
"1050","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","14-18 yr","EAR",1.7,NA,"mg",2,"RDI_name"
"1051","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","EAR",1.6,NA,"mg",2,"RDI_name"
"1052","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","51-70 yr","UL",100,"","mg",2,"RDI_name"
"1053","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","RDA",1.9,"","mg",2,"RDI_name"
"1054","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","19-30 yr","RDA",1.9,"","mg",2,"RDI_name"
"1055","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","31-50 yr","EAR",1.1,NA,"mg",2,"RDI_name"
"1056","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","19-30 yr","UL",100,"","mg",2,"RDI_name"
"1057","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","19-30 yr","UL",100,"","mg",2,"RDI_name"
"1058","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","1-3 yr","EAR",0.4,NA,"mg",2,"RDI_name"
"1059","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","14-18 yr","UL",80,"","mg",2,"RDI_name"
"1060","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","19-30 yr","EAR",1.7,NA,"mg",2,"RDI_name"
"1061","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","31-50 yr","EAR",1.1,NA,"mg",2,"RDI_name"
"1062","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","19-30 yr","EAR",1.1,NA,"mg",2,"RDI_name"
"1063","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None","51-70 yr","EAR",1.3,NA,"mg",2,"RDI_name"
"1064","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","EAR",1.6,NA,"mg",2,"RDI_name"
"1065","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","14-18 yr","RDA",1.9,"","mg",2,"RDI_name"
"1066","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None",">70 yr","EAR",1.4,NA,"mg",2,"RDI_name"
"1067","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","14-18 yr","EAR",1.1,NA,"mg",2,"RDI_name"
"1068","Vitamin B6","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","EAR",1.6,NA,"mg",2,"RDI_name"
"1069","Vitamin B6","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","31-50 yr","UL",100,"","mg",2,"RDI_name"
"1070","Vitamin B6","Vitamin","mg","mg/d","Men","Males","None","9-13 yr","EAR",0.8,NA,"mg",2,"RDI_name"
"1071","Vitamin B6","Vitamin","mg","mg/d","Children","Both","Children","4-8 yr","EAR",0.5,NA,"mg",2,"RDI_name"
"1072","Vitamin B6","Vitamin","mg","mg/d","Women","Females","None",">70 yr","EAR",1.3,NA,"mg",2,"RDI_name"
"1073","Vitamin C","Vitamin","mg","mg/d","Women (lactating)","Females","Lactation","14-18 yr","EAR",96,NA,"mg",2,"RDI_name"
"1074","Vitamin C","Vitamin","mg","mg/d","Women","Females","None","14-18 yr","UL",1800,"","mg",2,"RDI_name"
"1075","Vitamin C","Vitamin","mg","mg/d","Women (pregnant)","Females","Pregnancy","31-50 yr","UL",2000,"","mg",2,"RDI_name"
"1076","Vitamin C","Vitamin","mg","mg/d","Men","Males","None","31-50 yr","UL",2000,"","mg",2,"RDI_name"
"1077","Vitamin C","Vitamin","mg","mg/d","Women","Females","None","9-13 yr","UL",1200,"","mg",2,"RDI_name"
