"Table","Number of Records"
"food","7793"
"food_attribute","1074"
"food_calorie_conversion_factor","4693"
"food_nutrient","644125"
"food_nutrient_conversion_factor","10770"
"food_portion","14449"
"food_protein_conversion_factor","6077"
"food_update_log_entry","7793"
"sr_legacy_food","7793"
