,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
170,AFCD,"Fibre, total; gravimetrically determined",,"Fibre, total; gravimetrically determined",g,,Carbohydrate,"Fibre, total; determined gravimetrically by the aoac total dietary fibre method prosky and similar methods",
171,AFCD,"Fibre, crude",,"Fibre, crude",g,,Carbohydrate,Crude fibre,
172,AFCD,"Fibre, water-insoluble",,"Fibre, water-insoluble",g,,Carbohydrate,Fibre is determined via neutral detergent method,
173,AFCD,"Fibre, water-soluble",,"Fibre, water-soluble",g,,Carbohydrate,"Fibre, water-soluble",
174,AFCD,Fibre; unknown/variable methods,,Fibre; unknown/variable methods,g,,Carbohydrate,Fibre with unknown method,
175,AFCD,Water,,Water,g,,Water,Water; synonym moisture,
176,AFCD,Dry matter,,Dry matter,g,,Water,Dry matter,
177,AFCD,Ash,,Ash,g,,Ash,"Ash, synonym minerals",
178,AFCD,Oxalic acid,,Oxalic acid,mg,,Other,Oxalic acid,
179,AFCD,Phytic acid,,Phytic acid,mg,,Other,Phytic acid,
180,AFCD,Silver,,Silver,mcg,,Mineral,Silver,
181,AFCD,Barium,,Barium,mcg,,Toxic trace elements,Barium,
182,AFCD,Bromide,,Bromide,mcg,,Mineral,Bromide,
183,AFCD,Calcium,,Calcium,mg,mg,Mineral,Calcium,3
184,AFCD,Chloride,,Chloride,mg,g,Mineral,Chloride synonym chlorine,1
185,AFCD,Cobalt,,Cobalt,mcg,,Mineral,Cobalt,
186,AFCD,Chromium,,Chromium,mcg,mcg,Mineral,Chromium,1
187,AFCD,Copper,,Copper,mg,mcg,Mineral,Copper,1
188,AFCD,"Iron, total",Iron,Iron,mg,mg,Mineral,Total iron is sum of heme and non-heme iron,3
189,AFCD,Iodine,,Iodine,mcg,mcg,Mineral,Iodine,3
190,AFCD,Potassium,,Potassium,mg,g,Mineral,Potassium,2
191,AFCD,Magnesium,,Magnesium,mg,mg,Mineral,Magnesium,2
192,AFCD,Manganese,,Manganese,mcg,,Mineral,Manganese,
193,AFCD,Molybdenum,,Molybdenum,mcg,,Mineral,Molybdenum,
194,AFCD,Sodium,,Sodium,mg,mg,Mineral,Sodium,1
