,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
53,AFCD,"Fatty acid conversion factor, for internal use",,"Fatty acid conversion factor, for internal use",Not provided in unformatted AFCD,,Fatty acid,"Fatty acid conversion factor, for internal use",
54,AFCD,Fatty acid 4:0,,Fatty acid 4:0,g,,Fatty acid,Fatty acid 4:0,
55,AFCD,Fatty acid 6:0,,Fatty acid 6:0,g,,Fatty acid,Fatty acid 6:0,
56,AFCD,Fatty acid 8:0,,Fatty acid 8:0,g,,Fatty acid,Fatty acid 8:0,
57,AFCD,Fatty acid 9:0,,Fatty acid 9:0,g,,Fatty acid,Fatty acid 9:0,
58,AFCD,Fatty acid 10:0,,Fatty acid 10:0,g,,Fatty acid,Fatty acid 10:0,
59,AFCD,Fatty acid 11:0,,Fatty acid 11:0,g,,Fatty acid,Fatty acid 11:0,
60,AFCD,Fatty acid 12:0,,Fatty acid 12:0,g,,Fatty acid,Fatty acid 12:0,
61,AFCD,Fatty acid 13:0,,Fatty acid 13:0,g,,Fatty acid,Fatty acid 13:0,
62,AFCD,Fatty acid 14:0,,Fatty acid 14:0,g,,Fatty acid,Fatty acid 14:0,
63,AFCD,Fatty acid 15:0,,Fatty acid 15:0,g,,Fatty acid,Fatty acid 15:0,
64,AFCD,Fatty acid 16:0,,Fatty acid 16:0,g,,Fatty acid,Fatty acid 16:0,
65,AFCD,Fatty acid 17:0,,Fatty acid 17:0,g,,Fatty acid,Fatty acid 17:0,
66,AFCD,"Fatty acid 17:0, anteiso",,"Fatty acid 17:0, anteiso",g,,Fatty acid,"Fatty acid 17:0, with methyl group occurs at the third to the last carbon in the chain.",
67,AFCD,Fatty acid 18:0,,Fatty acid 18:0,g,,Fatty acid,Fatty acid 18:0,
68,AFCD,Fatty acid 19:0,,Fatty acid 19:0,g,,Fatty acid,Fatty acid 19:0,
69,AFCD,Fatty acid 20:0,,Fatty acid 20:0,g,,Fatty acid,Fatty acid 20:0,
70,AFCD,Fatty acid 21:0,,Fatty acid 21:0,g,,Fatty acid,Fatty acid 21:0,
71,AFCD,Fatty acid 22:0,,Fatty acid 22:0,g,,Fatty acid,Fatty acid 22:0,
72,AFCD,Fatty acid 23:0,,Fatty acid 23:0,g,,Fatty acid,Fatty acid 23:0,
73,AFCD,Fatty acid 24:0,,Fatty acid 24:0,g,,Fatty acid,Fatty acid 24:0,
74,AFCD,Fatty acid 14:1,,Fatty acid 14:1,g,,Fatty acid,Fatty acid 14:1,
75,AFCD,Fatty acid 15:1,,Fatty acid 15:1,g,,Fatty acid,Fatty acid 15:1,
76,AFCD,"Fatty acid 16:1, n11",,"Fatty acid 16:1, n11",g,,Fatty acid,Fatty acid 16:1 double bond on 11th carbon-carbon bond,
77,AFCD,"Fatty acid 16:1, n9",,"Fatty acid 16:1, n9",g,,Fatty acid,Fatty acid 16:1 double bond on 9th carbon-carbon bond,
78,AFCD,"Fatty acid 16:1, trans n7",,"Fatty acid 16:1, trans n7",g,,Fatty acid,Fatty acid 16:1 double bond on 7th carbon-carbon bond in trans configuration,
79,AFCD,"Fatty acid 16:1, n7",,"Fatty acid 16:1, n7",g,,Fatty acid,Fatty acid 16:1 double bond on 7th carbon-carbon bond,
80,AFCD,Fatty acid 16:1,,Fatty acid 16:1,g,,Fatty acid,Fatty acid 16:1,
81,AFCD,"Fatty acid 17:1, n9",,"Fatty acid 17:1, n9",g,,Fatty acid,Fatty acid 17:1 double bond on 8th carbon-carbon bond,
82,AFCD,"Fatty acid 17:1, n7",,"Fatty acid 17:1, n7",g,,Fatty acid,Fatty acid 17:1 double bond on 7th carbon-carbon bond,
83,AFCD,Fatty acid 17:1,,Fatty acid 17:1,g,,Fatty acid,Fatty acid 17:1,
84,AFCD,"Fatty acid 18:1, n11",,"Fatty acid 18:1, n11",g,,Fatty acid,Fatty acid 18:1 double bond on 11th carbon-carbon bond,
85,AFCD,"Fatty acid 18:1, cis n9",,"Fatty acid 18:1, cis n9",g,,Fatty acid,Fatty acid 18:1 double bond on 9th carbon-carbon bond in cis configuration,
86,AFCD,Fatty acid 18 1 trans n9,,Fatty acid 18 1 trans n9,g,,Fatty acid,Fatty acid 18:1 double bond on 9th carbon-carbon bond in trans configuration,
87,AFCD,"Fatty acid 18:1, n9",,"Fatty acid 18:1, n9",g,,Fatty acid,Fatty acid 18:1 double bond on 9th carbon-carbon bond,
88,AFCD,"Fatty acid 18:1, cis n7",,"Fatty acid 18:1, cis n7",g,,Fatty acid,Fatty acid 18:1 double bond on 7th carbon-carbon bond in cis configuration,
89,AFCD,"Fatty acid 18:1, n7",,"Fatty acid 18:1, n7",g,,Fatty acid,Fatty acid 18:1 double bond on 7th carbon-carbon bond,
90,AFCD,Fatty acid 18 1 trans,,Fatty acid 18 1 trans,g,,Fatty acid,Fatty acid 18:1 in trans configuration,
91,AFCD,Fatty acid 18:1,,Fatty acid 18:1,g,,Fatty acid,Fatty acid 18:1 in trans configuration,
92,AFCD,"Fatty acid 19:1, n11",,"Fatty acid 19:1, n11",g,,Fatty acid,Fatty acid 19:1 double bond on 11th carbon-carbon bond,
93,AFCD,"Fatty acid 20:1, n11",,"Fatty acid 20:1, n11",g,,Fatty acid,Fatty acid 20:1 double bond on 11th carbon-carbon bond,
94,AFCD,"Fatty acid 20:1, n9",,"Fatty acid 20:1, n9",g,,Fatty acid,Fatty acid 20:1 double bond on 9th carbon-carbon bond,
95,AFCD,"Fatty acid 20:1, n7",,"Fatty acid 20:1, n7",g,,Fatty acid,Fatty acid 20:1 double bond on 7th carbon-carbon bond,
96,AFCD,Fatty acid 20:1,,Fatty acid 20:1,g,,Fatty acid,Fatty acid 20:1,
97,AFCD,"Fatty acid 22:1, n11",,"Fatty acid 22:1, n11",g,,Fatty acid,Fatty acid 22:1 double bond on 11th carbon-carbon bond,
98,AFCD,"Fatty acid 22:1, n9",,"Fatty acid 22:1, n9",g,,Fatty acid,Fatty acid 22:1 double bond on 9th carbon-carbon bond,
99,AFCD,"Fatty acid 22:1, trans",,"Fatty acid 22:1, trans",g,,Fatty acid,Fatty acid 22:1 in trans configuration,
100,AFCD,Fatty acid 22:1,,Fatty acid 22:1,g,,Fatty acid,Fatty acid 22:1,
101,AFCD,"Fatty acid 24:1, n9",,"Fatty acid 24:1, n9",g,,Fatty acid,Fatty acid 24:1 double bond on 9th carbon-carbon bond,
102,AFCD,Fatty acid 24:1,,Fatty acid 24:1,g,,Fatty acid,Fatty acid 24:1,
103,AFCD,"Fatty acid 16:2, n4",,"Fatty acid 16:2, n4",g,,Fatty acid,Fatty acid 16:2 double bond on 4th carbon-carbon bond,
104,AFCD,Fatty acid 16:2,,Fatty acid 16:2,g,,Fatty acid,Fatty acid 16:2,
105,AFCD,"Fatty acid 18:2, n6",Linoleic acid,Linoleic acid,g,,Fatty acid,Fatty acid 18:2 double bond on 6th carbon-carbon bond,
106,AFCD,"Fatty acid 18:2, cis n6",,"Fatty acid 18:2, cis n6",g,,Fatty acid,Fatty acid 16:2 double bond on 6th carbon-carbon bond in cis configuration,
107,AFCD,"Fatty acid 18:2, trans",,"Fatty acid 18:2, trans",g,,Fatty acid,Fatty acid 18:2 in trans configuration,
108,AFCD,Fatty acid 18:2,,Fatty acid 18:2,g,,Fatty acid,Fatty acid 18:2,
109,AFCD,"Fatty acid 20:2, n9",,"Fatty acid 20:2, n9",g,,Fatty acid,Fatty acid 20:2 double bond on 9th carbon-carbon bond,
110,AFCD,"Fatty acid 20:2, n6",,"Fatty acid 20:2, n6",g,,Fatty acid,Fatty acid 20:2 double bond on 6th carbon-carbon bond,
111,AFCD,Fatty acid 20:2,,Fatty acid 20:2,g,,Fatty acid,Fatty acid 20:2,
112,AFCD,"Fatty acid 22:2, n6",,"Fatty acid 22:2, n6",g,,Fatty acid,Fatty acid 22:2 double bond on 6th carbon-carbon bond,
113,AFCD,Fatty acid 22:2,,Fatty acid 22:2,g,,Fatty acid,Fatty acid 22:2,
114,AFCD,"Fatty acid 16:3, n3",,"Fatty acid 16:3, n3",g,,Fatty acid,Fatty acid 16:3 double bond on 3rd carbon-carbon bond,
115,AFCD,Fatty acid 16:3,,Fatty acid 16:3,g,,Fatty acid,Fatty acid 16:3,
116,AFCD,"Fatty acid 18:3, cis n6",,"Fatty acid 18:3, cis n6",g,,Fatty acid,Fatty acid 18:3 double bond on 6th carbon-carbon bond in cis configuration,
117,AFCD,"Fatty acid 18:3, n6",,"Fatty acid 18:3, n6",g,,Fatty acid,Fatty acid 18:3 double bond on 6th carbon-carbon bond,
118,AFCD,"Fatty acid 18:3, n4",,"Fatty acid 18:3, n4",g,,Fatty acid,Fatty acid 18:3 double bond on 4th carbon-carbon bond,
119,AFCD,"Fatty acid 18:3, cis n3",α-Linolenic acid,α-Linolenic acid,g,,Fatty acid,Fatty acid 18:3 double bond on 3rd carbon-carbon bond in cis configuration,
120,AFCD,"Fatty acid 18:3, n3",,"Fatty acid 18:3, n3",g,,Fatty acid,Fatty acid 18:3 double bond on 3rd carbon-carbon bond,
121,AFCD,Fatty acid 18:3,,Fatty acid 18:3,g,,Fatty acid,Fatty acid 18:3,
122,AFCD,"Fatty acid 20:3, n9",,"Fatty acid 20:3, n9",g,,Fatty acid,Fatty acid 20:3 double bond on 9th carbon-carbon bond,
123,AFCD,"Fatty acid 20:3, n6",,"Fatty acid 20:3, n6",g,,Fatty acid,Fatty acid 20:3 double bond on 6th carbon-carbon bond,
