"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"North Korea","PRK","Zinc",25778548,22471153.7703791,87.1699747029161
"North Macedonia","MKD","Calcium",2083368,1167557.89907828,56.0418466194298
"North Macedonia","MKD","Iron",2083368,8750.51434098522,0.420017699272775
"North Macedonia","MKD","Omega-3 fatty acids",1492071,1401217.64158648,93.9109225758347
"North Macedonia","MKD","Vitamin A, RAE",2083368,27831.1282247016,1.33587192587683
"North Macedonia","MKD","Vitamin B-12",2083368,247651.925936744,11.8870946437089
"North Macedonia","MKD","Zinc",2083368,3155.44160990305,0.151458677002961
"Norway","NOR","Calcium",5420162,2247980.05145733,41.4744070649056
"Norway","NOR","Iron",5420162,3549.00936248232,0.0654779204474391
"Norway","NOR","Omega-3 fatty acids",3809539,554738.630284252,14.5618309796606
"Norway","NOR","Vitamin A, RAE",5420162,728307.086686486,13.4369985009025
"Norway","NOR","Vitamin B-12",5420162,1039.64037296076,0.0191809833905474
"Norway","NOR","Zinc",5420162,190.690466209433,0.00351816912869825
"Oman","OMN","Calcium",5106407,2937254.1067466,57.5209556689585
"Oman","OMN","Iron",5106407,178037.383741058,3.48654903028799
"Oman","OMN","Omega-3 fatty acids",3414473,1787628.98276827,52.3544623948782
"Oman","OMN","Vitamin A, RAE",5106407,1494222.7782085,29.2617250878846
"Oman","OMN","Vitamin B-12",5106407,220322.248250858,4.31462373153683
"Oman","OMN","Zinc",5106407,7805.56526351589,0.152858267339754
"Pakistan","PAK","Calcium",220891499,192625364.463131,87.2036114269525
"Pakistan","PAK","Iron",220891499,58456729.1620116,26.4640012977646
"Pakistan","PAK","Omega-3 fatty acids",101229549,96003483.4198737,94.8374109815245
"Pakistan","PAK","Vitamin A, RAE",220891499,128711630.901765,58.2691644922762
"Pakistan","PAK","Vitamin B-12",220891499,13504208.2138828,6.11350290754414
"Pakistan","PAK","Zinc",220891499,91725785.4323892,41.5252673134285
"Palau","PLW","Calcium",0,0,NA
"Palau","PLW","Iron",0,0,NA
